Tissue,HU,RSP,Original density,Calibrated density,Density diff (%)
Lungdeflated1,-850.5,0.1474228,0.148,0.1467189678768422,-0.8655622453768952
Lungdeflated2,-736.54,0.258986,0.26,0.25774953816202006,-0.8655622453769017
Lungdeflated3,-594.07,0.39844,0.4,0.3965377510184925,-0.8655622453768858
Adiposetissue3,-86.72,0.9577807,0.93,0.9290575841998845,-0.10133503227049022
Adiposetissue2,-63.29,0.9719046,0.95,0.9462329483096995,-0.3965317568737315
Adiposetissue1,-39.86,0.9860257,0.97,0.9634864845309193,-0.6714964401114055
Yellowmarrow,-35.99,0.9883562,0.98,0.9603715491287756,-2.002903150124932
Mammarygland1,-21.18,0.9972857,0.99,0.9780786368789511,-1.204178093035238
Mammarygland2,18.6,1.0212641,1.02,1.0081437605142216,-1.1623764201743536
Redmarrow,28.12,1.0270038,1.03,1.013917343000173,-1.5614230096919335
BrainCerebrospinalfluid,36.05,1.0317823,1.01,1.0191360289668985,0.9045573234552939
Adrenalgland,30.41,1.0283819,1.03,1.0145107868416599,-1.5038071027514734
Smallintestinewall,44.86,1.0370945,1.03,1.0278611288212627,-0.20765739599391697
Urine,49.05,1.0396227,1.02,1.0282732427333858,0.8111022287633147
Gallbladderbile,50.23,1.0403338,1.03,1.030093242176261,0.009052638471936278
Lymph,51.78,1.0412652,1.03,1.0311984549758817,0.11635485202734648
Pancreas,53.07,1.0420439,1.04,1.0320872419006353,-0.760842124938919
Brainwhitematter,54.83,1.0431066,1.04,1.0331108341109343,-0.662419797025552
Prostate,55.64,1.0435948,1.04,1.0360235825686681,-0.38234782993576194
Testis,58.13,1.0450937,1.04,1.036372334344555,-0.34881400533125323
Braingraymatter,62.08,1.0474765,1.04,1.037985742672267,-0.19367858920510406
Muscleskeletal1,61.85,1.0473334,1.05,1.0434811727044115,-0.6208406948179527
Heart1,62.08,1.0474758,1.05,1.041046182579807,-0.8527445162088645
Kidney1,62.7,1.0478502,1.05,1.0429630353712322,-0.6701871075016946
Stomach,62.92,1.0479793,1.05,1.040676404125494,-0.8879615118577288
Thyroid,94.34,1.066921,1.05,1.0602607066007796,0.9772101524552
Muscleskeletal2,64.56,1.0489697,1.05,1.0443910680593356,-0.5341839943489975
Liver1,64.86,1.0491505,1.05,1.0433776529031593,-0.630699723508641
Heart2,65.35,1.0494462,1.05,1.0424338063634473,-0.7205898701478812
Aorta,64.51,1.0489413,1.05,1.048144475540706,-0.1767166151708508
Kidney2,65.49,1.0495326,1.05,1.043951540579914,-0.5760437542939073
Muscleskeletal3,66.86,1.0503565,1.05,1.0464007192963498,-0.3427886384428792
Heart3,67.92,1.0509957,1.05,1.044656114369314,-0.5089414886367615
Mammarygland3,67.67,1.0508427,1.06,1.045352747876958,-1.3818162380228374
Kidney3,68.11,1.0511084,1.05,1.0447818475668318,-0.49696689839697666
Ovary,68.39,1.0512756,1.05,1.043893024503237,-0.5816167139774371
Eyelens,70.79,1.0527254,1.07,1.053912303106268,-1.5035230741805623
Liver2,75.38,1.0554922,1.06,1.0512108676214524,-0.8291634319384542
Spleen,77.02,1.0564779,1.06,1.0512011422144347,-0.8300809231665404
Trachea,76.04,1.0558886,1.06,1.052907288980226,-0.6691236811107589
Heartbloodfilled,78.15,1.0571634,1.06,1.0517292397499467,-0.7802604009484296
Bloodwhole,78.18,1.0571791,1.06,1.0531976244875598,-0.6417335389094555
Liver3,85.63,1.0616678,1.07,1.0588275192032797,-1.0441570838056444
Skin1,93.13,1.0661894,1.09,1.0618167996126173,-2.5856147144387847
Skin2,95.88,1.0678492,1.09,1.0643095791535526,-2.356919343710776
